sight,der Blick
rumor,das Gerücht
sincerity,Aufrichtigkeit
passion,die Leidenschaft
disgraceful,schmachvoll
guess,Vermutung
wave,die Welle
several,einige
to overcome,überwindet
find,findet
obstacles,Hindernisse
alive,lebendig
compassion,das Mitgefühl
on the other side,jenseits
stops,aufhört
shines,leuchtet
vice versa,umgekehrt
different,verschieden
dreams,Träumen
recognition,Anerkennung
successful ,erfolgreich
knowledge,das Wissen
educated,gelehrt
certainty,Gewissheit
to judge,richten
waste,Verschwendung
meaning,Bedeutung
shelter,die Zuflucht
applauds,beklatscht
desire,die Sehnsucht
cowardice,Feigheit
hide,verbergen
snake,die Schlange
amazement,Verwunderung
stream,der Storm
ruin,ruinieren
to fear,fürchten
fair,gerecht
hate,hasst
to link together,übereinstimmen
hyperbole,Übertreibung
escapes,flieht
accuses,anklagt
break,zerbrechen
answer,die Antwort
prejudice,das Vorurteil
feelings,Gefühle
unprecedented,beispiellosen
grace,die Anmut
increases,vermehrt
forgets,vergißt
castles in the air,Luftschlössern
proof,der Beweis
impatience ,die Ungeduld
facts,Tatsachen
impatience ,Ungeduld
to empty,entleert
traveler,der Reisende
clarity,Klarheit
environment,Umgebung
stupidity,Blödheit
to be called,genannt
to lie,betrügen
understand,begreifen
never,nimmer
breaks,abbricht
reliable,verlässlicher
pleasure,das Vergnügen
completely,vollständig
honour,die Ehre
enlightened,aufgeklärt
prison,der Kerker
cause,die Ursache
to accelerate,beschleunigen
decision,der Entschluß
laziness,Faulheit
order,Ordnung
hope,Hoffnung
crime,das Verbrechen
only,einzig
isolation,Einsamkeit
keeping,Behalten
shatters,zerstört
roof,das Dach
conversation,die Konversation
privilege,das Vorrecht
envy,der Neid
misunderstanding,das Mißverständnis
caution,die Vorsicht
lengthy,langwierige
eternity,Ewigkeit
ambition,der Ehrgeiz
memories,Erinnerungen
bridge,die Brücke
hide,verbergen
consolation,der Trost
fulfillment ,Erfüllung
crazy,verrückt
temporary,vorübergehend
protecting,schirmen
responsibility,Verantwortung
happens,eintritt
irreplaceable,unersetzlich
courage,der Mut
education,Erziehung
fears,Befürchtungen
honest,ehrlich
failed,gescheitert
lovely,reizende
instruction,Belehrung
то organize,ordnet
suspect,ahnt
stronger,mächtiger
promised,gelobte
stupidities,die Torheiten
cured,geheilt
retreat,zurückweichen
abnormal ,krankhafte
other side,die Kehrseite
feels,empfindet
weakness,die Schwäche
terrible,fürchterlich
bright,hell
indifference,Gleichgültigkeit
rule,herrschen
taste,kosten
fade away,schwindet
educates,erzieht
troubles,Mühen
to talk,reden
most perfectly,vollkommensten
foolish,töricht
stubbornness,der Eigensinn
more stable,beständiger
climb,steigen
agonies,Qualen
to shape,gestaltet
laws,Gesetze
cruel,gemein
bravest,mutigsten
essence,das Wesen
decision,Entscheidung
justice,Gerechtigkeit
more mature,ausgereifter
repetition,Wiederholung
comes from,entsteht
conscience,das Gewissen
fear,die Furcht
expects,erwartet
efficiency,Wirksamkeit
pleasure,der Genuss
to hide,verbirgt
tears,Tränen
independence ,Unabhängigkeit
rarely,selten
furniture,das Möbel
useless,vergeblich
get to understand,beizubringen
almost,beinahe
to accuse,vorwerfen
least,geringste
indicate,andeuten
performances,Ausführungen
stay,der Aufenthalt
accordingly,dementsprechend
to make someone understand,beibringen
trails,Spuren
remember,erinnern
sign,das Zeichen
undecided,unentschlossen
acronym,Abkürzung
cooks,kocht
ordinary,gewöhnliche
keeps,verschweigt
obstacles,Hindernisse
to deserve,verdienen
windmills,Windmühlen
keep,behalten
become,werden
constantly,beständig
based,beruht
burn,verbrennen
admire,bewundere
introduction,Vorstellung
commit,begehen
forgive,verzeihen
care,kümmern
way,Möglichkeit
break,brechen
responsible,verantwortlich
to survive,überleben
silent,schweigt
already,bereits
constantly,stetig
seeds,Samen
habits,Gewohnheiten
conquer,erobern
bear,ertragen
curious,neugierig
to rule,herrschen
received,bekommen
agreed,einverstanden
direction,Richtung
build,baust
convince,überzeugt
sincerest,aufrichtigste
nonessential,unwesentlichen
like,ähnlich
fight,kämpft
duties,Aufgaben
together,zusammen
deceive,täuschen
actually,eigentlich
happiness,das Glück
prepared,gefasst
failure,Scheitern
skin,die Haut
quality,die Eigenschaft
to borrow,leihen
ordinary,gewöhnlichem
achieved,erreicht
misfortune,das Unglück
pretend,vorgeben
despair,Verzweiflung
soon,bald
mistakes,Fehlern
brush,der Pinsel
shell,die Schale
never,niemals
candles,Kerzen
