поглед,sight
препятствията,obstacles
жива,alive
състраданието,compassion
от другата страна,on the other side
спира,stops
блести,shines
обратното,vice versa
различни,different
сънищата,dreams
признателност,recognition
успешен,successful 
знанието,knowledge
образован,educated
сигурността,certainty
да съдиш,to judge
загубата,waste
смисъла,meaning
убежище,shelter
аплодира,applauds
желанието,desire
страхливост,cowardice
да се скрие,hide
змия,snake
учудването,amazement
потокът,stream
разрушат,ruin
да се страхува,to fear
справедлив,fair
мразим,hate
действат като едно цяло,to link together
хипербола,hyperbole
бяга,escapes
обвинява,accuses
счупите,break
отговора,answer
чувства,feelings
безпрецедентното,unprecedented
грациозността,grace
увеличава,increases
забравя,forgets
замъци във въздуха,castles in the air
доказателство,proof
нетърпението,impatience 
фактите,facts
нетърпение,impatience 
изпразнете,to empty
яснотата,clarity
среда,environment
глупостта,stupidity
бива наричана,to be called
мамят,to lie
разбираме,understand
никога,never
руши,breaks
надежден,reliable
удоволствието,pleasure
напълно,completely
чест,honour
просветлен,enlightened
затвора,prison
причина,cause
да ускоряваме,to accelerate
решение,decision
мързелът,laziness
подредба,order
надеждата,hope
престъпността,crime
единствената,only
изолация,isolation
запазването,keeping
разтърсва,shatters
покрив,roof
разговор,conversation
привилегията,privilege
завистта,envy
неразбиране,misunderstanding
предпазливостта,caution
продължителен,lengthy
вечността,eternity
амбицията,ambition
спомени,memories
мост,bridge
скрият,hide
утеха,consolation
изпълнение,fulfillment 
луди,crazy
временна,temporary
защитава,protecting
отговорност,responsibility
незаменими,irreplaceable
смелост,courage
образованието,education
страхове,fears
честен,honest
провалила,failed
приятното,lovely
инструкция,instruction
организира,то organize
по-силно,stronger
обещаната,promised
глупости,stupidities
излекуван,cured
да върне назад,retreat
нелогичната,abnormal 
другата страна,other side
чувства,feels
слабост,weakness
ужаснo,terrible
ярко,bright
безразличието,indifference
управляваш,rule
вкуси,taste
избледняват,fade away
възпитава,educates
проблеми,troubles
най-перфектния,most perfectly
глупав,foolish
инатът,stubbornness
по-стабилно,more stable
катерене,climb
агонии,agonies
формира,to shape
законите,laws
жесток,cruel
най-смелите,bravest
същност,essence
решение,decision
правосъдието,justice
по-зрял,more mature
повторение,repetition
произтича от,comes from
съвестта,conscience
страхът,fear
очаква,expects
ефективност,efficiency
удоволствие,pleasure
крият,to hide
сълзите,tears
независимост,independence 
рядко,rarely
мебели,furniture
безполезно,useless
разбере,get to understand
почти,almost
да се обвиняваш,to accuse
най-малкия,least
намекна,indicate
постижения,performances
престой,stay
съобразно,accordingly
накарам да разбере,to make someone understand
следите,trails
спомни,remember
знак,sign
нерешителен,undecided
акроним,acronym
готви,cooks
обикновеният,ordinary
крие,keeps
препятствия,obstacles
вятърни мелници,windmills
запазите,keep
превръщат,become
постоянно,constantly
основава,based
изгарят,burn
запознаването,introduction
извършват,commit
простиш,forgive
начин,way
нарушавате,break
отговорна,responsible
да оцелееш,to survive
мълчи,silent
вече,already
семената,seeds
навиците,habits
завладея,conquer
издържи,bear
любопитно,curious
управлява,to rule
получил,received
съгласуван,agreed
посока,direction
построил,build
убедите,convince
най-искрената,sincerest
като,like
бори,fight
задължения,duties
заедно,together
измами,deceive
всъщност,actually
щастие,happiness
подготвен,prepared
неуспеха,failure
кожата,skin
качество,quality
да заемате,to borrow
обикновен,ordinary
постига,achieved
преструваш,pretend
отчаянието,despair
скоро,soon
четка,brush
черупка,shell
никога,never
свещите,candles
